Name,studentID,studentESL,studentPriority,studentGPA,Final,studentChoice1,studentChoice2,studentChoice3,studentChoice4,studentChoice5,studentAvoid,assignment
Antione Dean,898302551,,,2.788,2,2,13,4,34,43,,10
Damian Strickland,866540536,,,4,2,2,19,30,8,29,,22
Cheryl Stanley,844600851,,,3.564,2,2,37,4,38,9,,8
Simone Ferguson,838993072,,,3.455,2,2,41,14,3,4,,15
Fausto Dixon,888865504,,,3.631,2,14,2,24,31,10,,0
Glenna Floyd,877934308,,,3.692,6,6,8,32,42,25,,32
Bennie Berger,869692448,,,3.643,6,6,30,38,2,32,,1
Katina Barrera,867677718,,,3.205,6,6,33,20,15,22,,40
Drew Black,876816143,,,3.574,7,15,24,7,41,,,10
Jenifer Joyce,829381139,,,3.925,7,25,7,14,43,,,7
Elroy Higgins,851754603,,,3.836,7,25,7,41,,,,9
Daisy Valencia,833152159,,,2.852,7,25,7,41,3,33,,5
Jerome Beard,875215342,,,3.064,8,8,14,11,24,33,,39
Angel Jimenez,853324511,,,4,8,8,25,1,41,,,40
Rosanna Pope,837997155,,,2.251,8,8,25,14,33,7,,7
Lupe Reynolds,809365648,,,3.599,8,8,25,14,,,,20
Kristen Rose,829241077,,,3.886,8,8,42,25,41,43,,5
Dianne Parks,872810934,,,2.674,11,11,8,2,29,14,,41
Lynette Proctor,873272545,,,2.714,11,11,15,8,31,18,,30
Art Livingston,889764500,,,3.471,11,11,15,31,10,32,,37
Hilton Ward,871134954,,,3.087,11,11,15,31,33,32,,17
Noemi Allison,815041833,,,2.862,11,11,25,16,39,,,27
Rod Chaney,859287798,,,2.549,12,12,1,16,39,,,23
Martina Chang,886859456,,,3.726,12,12,32,15,,,,24
Olga Valdez,873999703,,,3.927,12,41,8,14,12,,,20
Emery Rush,852662251,,,3.941,14,14,25,8,41,7,,42
Josiah Petty,802753560,,,2.734,14,14,25,15,31,,,19
Alba Moody,844935681,,,3.909,14,14,25,17,41,6,,35
Barbra Stone,860703955,,,3.599,14,14,25,26,,,,35
Chase Cardenas,898632648,,,2.066,14,14,31,15,16,38,,32
Julie Bean,824646747,,,3,15,11,15,31,,,,2
Teri Hobbs,870842283,,,2.678,15,11,15,31,33,32,,2
Porfirio Sanders,884535932,,,3.231,15,11,15,31,8,24,,23
Vicente Valenzuela,807849569,,,3.253,15,15,11,31,24,32,,40
Betsy Cole,821443597,,,3.468,15,32,15,11,,,,36
Nora Curtis,822741883,,,2.477,16,4,5,16,28,,,2
Galen Wang,898375991,,,2.383,16,10,1,16,34,7,,9
Margaret Brooks,889185371,,,3.751,16,22,15,16,7,17,,15
Frank Huerta,817569560,,,2.865,16,30,29,16,8,25,,27
Conrad Durham,851410912,,,2.948,16,40,13,16,34,4,,35
Marla Mercer,867582615,,,3.818,17,17,25,41,,,,20
Kerry Leach,855440794,,,3.455,17,17,32,38,25,,,5
Stacy Riley,886627238,,,3.914,17,17,38,41,,,,23
